Episode,Reward,QUpdates
1,1325.0,0
2,-217.0,0
3,-312.0,0
4,1529.0,0
5,1539.0,0
6,-96.0,0
7,-155.0,0
8,476.0,0
9,5.0,0
10,0.0,0
11,4.0,0
12,-356.0,0
13,-187.0,0
14,1324.0,0
15,-338.0,0
16,1330.0,0
17,120.0,0
18,1312.0,0
19,320.0,0
20,-276.0,0
21,-48.0,0
22,-288.0,0
23,1329.0,0
24,98.0,0
25,1706.0,0
26,-138.0,0
27,-292.0,0
28,-360.0,0
29,1543.0,0
30,-348.0,0
31,-320.0,0
32,1327.0,0
33,325.0,0
34,-293.0,0
35,-118.0,0
36,1322.0,0
37,-41.0,0
38,-116.0,0
39,1315.0,0
40,-195.0,0
41,1339.0,0
42,1333.0,0
43,141.0,0
44,1322.0,0
45,-45.0,0
46,1324.0,0
47,1322.0,0
48,-384.0,0
49,480.0,0
50,-345.0,0
51,1330.0,0
52,1300.0,0
53,1322.0,0
54,1318.0,0
55,1335.0,0
56,1317.0,0
57,1329.0,0
58,1344.0,0
59,1301.0,0
60,455.0,0
