Episode,Reward,QUpdates
1,14.0,0
2,65.0,0
3,1309.0,0
4,-142.0,0
5,-26.0,0
6,1325.0,0
7,-258.0,0
8,1323.0,0
9,-214.0,0
10,-169.0,0
11,1330.0,0
12,1534.0,0
13,508.0,0
14,-232.0,0
15,-240.0,0
16,-35.0,0
17,66.0,0
18,1287.0,0
19,-44.0,0
20,1330.0,0
21,-214.0,0
22,252.0,0
23,1335.0,0
24,7.0,0
25,1332.0,0
26,-133.0,0
27,1318.0,0
28,-196.0,0
29,1328.0,0
30,-187.0,0
31,1329.0,0
32,-1.0,0
33,1340.0,0
34,-169.0,0
35,1325.0,0
36,-347.0,0
37,1285.0,0
38,-133.0,0
39,1317.0,0
40,-1.0,0
41,1338.0,0
42,1333.0,0
43,-53.0,0
44,1325.0,0
45,-320.0,0
46,1320.0,0
47,1346.0,0
48,-151.0,0
49,1334.0,0
50,6.0,0
51,-240.0,0
52,1318.0,0
53,1311.0,0
54,1325.0,0
55,1326.0,0
56,-368.0,0
57,1310.0,0
58,-169.0,0
59,1321.0,0
60,1331.0,0
