Episode,Reward,QUpdates
1,-281.0,0
2,-435.0,0
3,-626.0,0
4,1087.0,0
5,1339.0,0
6,-401.0,0
7,1522.0,0
8,520.0,0
9,496.0,0
10,-258.0,0
11,1722.0,0
12,-403.0,0
13,-348.0,0
14,-320.0,0
15,51.0,0
16,1336.0,0
17,1530.0,0
18,-338.0,0
19,-82.0,0
20,1329.0,0
21,1520.0,0
22,122.0,0
23,262.0,0
24,-284.0,0
25,-82.0,0
26,1520.0,0
27,670.0,0
28,-356.0,0
29,1543.0,0
30,-37.0,0
31,-278.0,0
32,-258.0,0
33,1531.0,0
34,-196.0,0
35,112.0,0
36,-356.0,0
37,199.0,0
38,1310.0,0
39,-203.0,0
40,1333.0,0
41,-232.0,0
42,1299.0,0
43,1318.0,0
44,-169.0,0
45,1304.0,0
46,-277.0,0
47,1330.0,0
48,-73.0,0
49,1330.0,0
50,1527.0,0
51,-187.0,0
52,-240.0,0
53,-89.0,0
54,1332.0,0
55,-232.0,0
56,-105.0,0
57,69.0,0
58,7.0,0
59,-106.0,0
60,-401.0,0
