Episode,Reward,QUpdates
1,-401.0,0
2,-584.0,0
3,-527.0,0
4,-518.0,0
5,-654.0,0
6,1237.0,0
7,1331.0,0
8,-356.0,0
9,1315.0,0
10,-196.0,0
11,1324.0,0
12,-169.0,0
13,-267.0,0
14,1314.0,0
15,-97.0,0
16,1334.0,0
17,1334.0,0
18,1334.0,0
19,1334.0,0
20,-329.0,0
21,473.0,0
22,274.0,0
23,0.0,0
24,474.0,0
25,1534.0,0
26,1534.0,0
27,685.0,0
28,-169.0,0
29,474.0,0
30,-196.0,0
31,104.0,0
32,1534.0,0
33,1534.0,0
34,-151.0,0
35,-196.0,0
36,-240.0,0
37,-187.0,0
38,-312.0,0
39,1331.0,0
40,6.0,0
41,1333.0,0
42,1321.0,0
43,69.0,0
44,1338.0,0
45,-267.0,0
46,209.0,0
47,1327.0,0
48,1329.0,0
49,1528.0,0
50,1334.0,0
51,-124.0,0
52,-365.0,0
53,-133.0,0
54,-223.0,0
55,-205.0,0
56,1731.0,0
57,-223.0,0
58,-356.0,0
59,-196.0,0
60,-232.0,0
