Episode,Reward,QUpdates
1,-450.0,0
2,-484.0,0
3,-523.0,0
4,-497.0,0
5,-442.0,0
6,-434.0,0
7,-314.0,0
8,1172.0,0
9,1317.0,0
10,-79.0,0
11,1314.0,0
12,104.0,0
13,1335.0,0
14,-320.0,0
15,-100.0,0
16,1312.0,0
17,-99.0,0
18,1310.0,0
19,418.0,0
20,1334.0,0
21,-124.0,0
22,1333.0,0
23,-124.0,0
24,-36.0,0
25,1332.0,0
26,-89.0,0
27,1326.0,0
28,-365.0,0
29,-1.0,0
30,1332.0,0
31,1323.0,0
32,-329.0,0
33,-16.0,0
34,1309.0,0
35,-302.0,0
36,1331.0,0
37,1330.0,0
38,-2.0,0
39,63.0,0
40,262.0,0
41,1341.0,0
42,248.0,0
43,6.0,0
44,1326.0,0
45,1521.0,0
46,1334.0,0
47,-240.0,0
48,1322.0,0
49,1325.0,0
50,-401.0,0
51,1527.0,0
52,460.0,0
53,1345.0,0
54,1308.0,0
55,1320.0,0
56,-53.0,0
57,1332.0,0
58,1326.0,0
59,1544.0,0
60,1325.0,0
