Episode,Reward,QUpdates
1,-438.0,0
2,-439.0,0
3,-44.0,0
4,-384.0,0
5,-267.0,0
6,1030.0,0
7,2.0,0
8,-171.0,0
9,-100.0,0
10,-179.0,0
11,-211.0,0
12,915.0,0
13,-155.0,0
14,-399.0,0
15,32.0,0
16,1120.0,0
17,785.0,0
18,-29.0,0
19,71.0,0
20,122.0,0
21,-171.0,0
22,-171.0,0
23,170.0,0
24,-138.0,0
25,752.0,0
26,903.0,0
27,735.0,0
28,1062.0,0
29,79.0,0
30,-109.0,0
31,74.0,0
32,-36.0,0
33,-67.0,0
34,-75.0,0
35,-62.0,0
36,97.0,0
37,-80.0,0
38,-948.0,0
39,952.0,0
40,157.0,0
41,838.0,0
42,872.0,0
43,-302.0,0
44,-347.0,0
45,36.0,0
46,-38.0,0
47,1096.0,0
48,1109.0,0
49,-2.0,0
50,-388.0,0
51,702.0,0
52,-184.0,0
53,-255.0,0
54,911.0,0
55,981.0,0
56,-645.0,0
57,-344.0,0
58,-352.0,0
59,-358.0,0
60,1038.0,0
